radius,xi,mass,luminosity,pressure,temperature,density,egr,theta,y
696000,0.01,3.14655e+023,4.34259e+020,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
1.392e+006,0.0138135,1.57327e+024,2.1713e+021,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
2.088e+006,0.0207202,4.40517e+024,6.07963e+021,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
2.784e+006,0.0276269,9.43964e+024,1.30278e+022,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
3.48e+006,0.0345337,1.7306e+025,2.38843e+022,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
4.176e+006,0.0414404,2.86336e+025,3.95176e+022,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
4.872e+006,0.0483471,4.40517e+025,6.07963e+022,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
5.568e+006,0.0552539,6.41896e+025,8.85889e+022,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
6.264e+006,0.0621606,8.96766e+025,1.23764e+023,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
6.96e+006,0.0690673,1.21142e+026,1.6719e+023,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
7.656e+006,0.0759741,1.59215e+026,2.19735e+023,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
8.352e+006,0.0828808,2.04526e+026,2.82269e+023,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
9.048e+006,0.0897875,2.57702e+026,3.55658e+023,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
9.744e+006,0.0966943,3.19375e+026,4.40773e+023,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
1.044e+007,0.103601,3.90172e+026,5.38482e+023,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
1.1136e+007,0.110508,4.70724e+026,6.49652e+023,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
1.1832e+007,0.117414,5.61659e+026,7.75153e+023,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
1.2528e+007,0.124321,6.63607e+026,9.15853e+023,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
1.3224e+007,0.131228,7.77197e+026,1.07262e+024,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
1.392e+007,0.138135,9.03059e+026,1.24632e+024,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
1.4616e+007,0.145041,1.04182e+027,1.43783e+024,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
1.5312e+007,0.151948,1.19411e+027,1.64801e+024,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
1.6008e+007,0.158855,1.36057e+027,1.87774e+024,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
1.6704e+007,0.165762,1.54181e+027,2.12787e+024,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
1.74e+007,0.172668,1.73847e+027,2.39928e+024,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
1.8096e+007,0.179575,1.95117e+027,2.69284e+024,1.19615e+016,1.32799e+007,74267.1,0.00138011,0.991039,0
1.8792e+007,0.186482,2.18053e+027,3.00927e+024,1.19593e+016,1.32793e+007,74257,0.00137967,0.990994,0.0002272
1.9488e+007,0.193389,2.42712e+027,3.34927e+024,1.1955e+016,1.32781e+007,74237.1,0.00137881,0.990905,0.000478522
2.0184e+007,0.200295,2.69153e+027,3.71352e+024,1.19488e+016,1.32764e+007,74208.2,0.00137756,0.990777,0.000748011
2.088e+007,0.207202,2.97435e+027,4.10267e+024,1.19408e+016,1.32742e+007,74170.7,0.00137594,0.99061,0.00103626
2.1576e+007,0.214109,3.27616e+027,4.51734e+024,1.1931e+016,1.32715e+007,74125.3,0.00137397,0.990407,0.00134386
2.2272e+007,0.221015,3.59752e+027,4.95814e+024,1.19196e+016,1.32683e+007,74072.2,0.00137168,0.990171,0.00167139
2.2968e+007,0.227922,3.939e+027,5.42566e+024,1.19067e+016,1.32647e+007,74012,0.00136908,0.989903,0.00201942
2.3664e+007,0.234829,4.30116e+027,5.92044e+024,1.18923e+016,1.32607e+007,73944.9,0.00136618,0.989604,0.00238854
2.436e+007,0.241736,4.68456e+027,6.44301e+024,1.18765e+016,1.32563e+007,73871.3,0.00136301,0.989275,0.00277929
2.5056e+007,0.248642,5.08974e+027,6.99388e+024,1.18594e+016,1.32515e+007,73791.4,0.00135957,0.988918,0.00319225
2.5752e+007,0.255549,5.51725e+027,7.57353e+024,1.1841e+016,1.32464e+007,73705.6,0.00135589,0.988535,0.00362796
2.6448e+007,0.262456,5.96761e+027,8.18241e+024,1.18214e+016,1.32409e+007,73613.9,0.00135196,0.988125,0.00408697
2.7144e+007,0.269363,6.44137e+027,8.82093e+024,1.18006e+016,1.3235e+007,73516.8,0.0013478,0.98769,0.00456981
2.784e+007,0.276269,6.93903e+027,9.4895e+024,1.17787e+016,1.32289e+007,73414.2,0.00134341,0.98723,0.00507703
2.8536e+007,0.283176,7.46112e+027,1.01885e+025,1.17556e+016,1.32224e+007,73306.5,0.00133882,0.986747,0.00560914
2.9232e+007,0.290083,8.00815e+027,1.09182e+025,1.17315e+016,1.32156e+007,73193.7,0.00133402,0.986241,0.00616667
