radius,xi,mass,luminosity,pressure,temperature,density,egr,theta,y
696000,0.01,6.86361e+023,3.36332e+021,2.5e+016,1.5e+007,162000,0.00490023,1,0.00177196
1.392e+006,0.0138135,2.28787e+024,1.12111e+022,2.5e+016,1.5e+007,162000,0.00490023,1,0.00177422
2.088e+006,0.0207202,6.63482e+024,3.25121e+022,2.5e+016,1.5e+007,162000,0.00490023,1,0.00177843
2.784e+006,0.0276269,1.50999e+025,7.39931e+022,2.5e+016,1.5e+007,162000,0.00490023,1,0.00178527
3.48e+006,0.0345337,2.90559e+025,1.42381e+023,2.5e+016,1.5e+007,162000,0.00490023,1,0.00179539
4.176e+006,0.0414404,4.98756e+025,2.44402e+023,2.5e+016,1.5e+007,162000,0.00490023,1,0.00180946
4.872e+006,0.0483471,7.89315e+025,3.86782e+023,2.5e+016,1.5e+007,162000,0.00490023,1,0.00182814
5.568e+006,0.0552539,1.17597e+026,5.7625e+023,2.5e+016,1.5e+007,162000,0.00490023,1,0.00185207
6.264e+006,0.0621606,1.67243e+026,8.1953e+023,2.5e+016,1.5e+007,162000,0.00490023,1,0.00188193
6.96e+006,0.0690673,2.29245e+026,1.12335e+024,2.5e+016,1.5e+007,162000,0.00490023,1,0.00191837
7.656e+006,0.0759741,3.04973e+026,1.49444e+024,2.5e+016,1.5e+007,162000,0.00490023,1,0.00196206
8.352e+006,0.0828808,3.95802e+026,1.93952e+024,2.5e+016,1.5e+007,162000,0.00490023,1,0.00201364
9.048e+006,0.0897875,5.03103e+026,2.46532e+024,2.5e+016,1.5e+007,162000,0.00490023,1,0.00207377
9.744e+006,0.0966943,6.28249e+026,3.07856e+024,2.5e+016,1.5e+007,162000,0.00490023,1,0.00214313
1.044e+007,0.103601,7.72614e+026,3.78598e+024,2.5e+016,1.5e+007,162000,0.00490023,1,0.00222235
1.1136e+007,0.110508,9.37569e+026,4.5943e+024,2.5e+016,1.5e+007,162000,0.00490023,1,0.00231212
1.1832e+007,0.117414,1.12449e+027,5.51025e+024,2.5e+016,1.5e+007,162000,0.00490023,1,0.00241307
1.2528e+007,0.124321,1.33474e+027,6.54054e+024,2.5e+016,1.5e+007,162000,0.00490023,1,0.00252588
1.3224e+007,0.131228,1.56971e+027,7.69192e+024,2.5e+016,1.5e+007,162000,0.00490023,1,0.00265119
1.392e+007,0.138135,1.83075e+027,8.97111e+024,2.5e+016,1.5e+007,162000,0.00490023,1,0.00278968
1.4616e+007,0.145041,2.11925e+027,1.03848e+025,2.5e+016,1.5e+007,162000,0.00490023,1,0.00294199
1.5312e+007,0.151948,2.43658e+027,1.19398e+025,2.5e+016,1.5e+007,162000,0.00490023,1,0.00310879
1.6008e+007,0.158855,2.78411e+027,1.36428e+025,2.5e+016,1.5e+007,162000,0.00490023,1,0.00329074
1.6704e+007,0.165762,3.16321e+027,1.55004e+025,2.5e+016,1.5e+007,162000,0.00490023,1,0.00348849
