radius,xi,mass,luminosity,pressure,temperature,density,egr,theta,y
6.96e+006,0.0690673,3.19029e+026,4.54711e+023,1.21837e+016,1.33412e+007,75299.6,0.0014253,0.99561,0
1.392e+007,0.138135,1.59514e+027,2.27355e+024,1.21837e+016,1.33412e+007,75299.6,0.0014253,0.99561,0
2.088e+007,0.207202,4.4664e+027,6.36595e+024,1.21837e+016,1.33412e+007,75299.6,0.0014253,0.99561,0
2.784e+007,0.276269,9.57087e+027,1.36413e+025,1.21837e+016,1.33412e+007,75299.6,0.0014253,0.99561,0
3.48e+007,0.345337,1.75466e+028,2.50091e+025,1.21837e+016,1.33412e+007,75299.6,0.0014253,0.99561,0
4.176e+007,0.414404,2.89276e+028,4.08897e+025,1.20368e+016,1.33008e+007,74617.6,0.00139536,0.992595,0.0074959
4.872e+007,0.483471,4.4103e+028,6.1072e+025,1.1711e+016,1.32099e+007,73097.9,0.00132994,0.98581,0.0229625
5.568e+007,0.552539,6.33485e+028,8.49674e+025,1.126e+016,1.30808e+007,70976,0.00124161,0.976178,0.0425773
6.264e+007,0.621606,8.6827e+028,1.11722e+026,1.07214e+016,1.29215e+007,68414.5,0.00113955,0.96429,0.0665065
6.96e+007,0.690673,1.14592e+029,1.40341e+026,1.01239e+016,1.27376e+007,65534.3,0.00103074,0.950564,0.0948049
7.656e+007,0.759741,1.46598e+029,1.698e+026,9.48978e+015,1.25332e+007,62431,0.000920428,0.935316,0.127424
8.352e+007,0.828808,1.82705e+029,1.99138e+026,8.83718e+015,1.2312e+007,59182.5,0.000812533,0.918804,0.164225
9.048e+007,0.897875,2.22697e+029,2.27527e+026,8.18067e+015,1.20767e+007,55853.5,0.00070986,0.901243,0.204984
9.744e+007,0.966943,2.66292e+029,2.54307e+026,7.53195e+015,1.18298e+007,52497.5,0.000614298,0.882818,0.249416
1.044e+008,1.03601,3.13154e+029,2.79003e+026,6.90023e+015,1.15735e+007,49159.3,0.000526991,0.863695,0.297177
1.1136e+008,1.10508,3.62912e+029,3.01319e+026,6.29262e+015,1.13099e+007,45875.6,0.000448484,0.84402,0.34789
1.1832e+008,1.17414,4.15166e+029,3.21116e+026,5.71435e+015,1.10406e+007,42676,0.000378865,0.823922,0.401147
1.2528e+008,1.24321,4.69503e+029,3.38389e+026,5.16906e+015,1.07672e+007,39583.8,0.00031788,0.803522,0.456527
1.3224e+008,1.31228,5.25508e+029,3.53232e+026,4.65904e+015,1.04912e+007,36616.8,0.00026504,0.782922,0.513607
1.392e+008,1.38135,5.8277e+029,3.65813e+026,4.18544e+015,1.02137e+007,33788.1,0.000219704,0.762219,0.571967
1.4616e+008,1.45041,6.4089e+029,3.76341e+026,3.74849e+015,9.93604e+006,31106.5,0.000181151,0.741496,0.631203
1.5312e+008,1.51948,6.9949e+029,3.85051e+026,3.3477e+015,9.65908e+006,28577.1,0.000148627,0.720827,0.690928
1.6008e+008,1.58855,7.58216e+029,3.9218e+026,2.98198e+015,9.38373e+006,26202.1,0.000121388,0.700278,0.750781
1.6704e+008,1.65762,8.1674e+029,3.97957e+026,2.64984e+015,9.11075e+006,23981.3,9.87249e-005,0.679907,0.810428
1.74e+008,1.72668,8.74764e+029,4.02598e+026,2.34949e+015,8.84082e+006,21912.3,7.99825e-005,0.659763,0.869565
1.8096e+008,1.79575,9.3202e+029,4.06295e+026,2.07893e+015,8.57451e+006,19991.1,6.4567e-005,0.639889,0.92792
1.8792e+008,1.86482,9.88272e+029,4.09217e+026,1.83606e+015,8.3123e+006,18212.6,5.19509e-005,0.620321,0.985252
1.9488e+008,1.93389,1.04331e+030,4.11511e+026,1.61874e+015,8.0546e+006,16570.7,4.16728e-005,0.601089,1.04135
2.0184e+008,2.00295,1.09697e+030,4.133e+026,1.42485e+015,7.80175e+006,15058.6,3.33342e-005,0.58222,1.09604
2.088e+008,2.07202,1.14909e+030,4.14686e+026,1.25232e+015,7.55402e+006,13669.3,2.65947e-005,0.563733,1.14916
2.1576e+008,2.14109,1.19956e+030,4.15754e+026,1.09916e+015,7.31164e+006,12395.2,2.11665e-005,0.545645,1.2006
2.2272e+008,2.21015,1.24828e+030,4.16573e+026,9.63494e+014,7.07476e+006,11229.1,1.68084e-005,0.527967,1.25025
2.2968e+008,2.27922,1.29517e+030,4.17198e+026,8.4356e+014,6.8435e+006,10163.5,1.33197e-005,0.510709,1.29804
2.3664e+008,2.34829,1.34019e+030,4.17672e+026,7.37728e+014,6.61795e+006,9191.38,1.05344e-005,0.493877,1.34392
2.436e+008,2.41736,1.38329e+030,4.1803e+026,6.44493e+014,6.39814e+006,8305.62,8.31618e-006,0.477473,1.38786
2.5056e+008,2.48642,1.42447e+030,4.183e+026,5.6248e+014,6.1841e+006,7499.61,6.55359e-006,0.4615,1.42983
2.5752e+008,2.55549,1.46372e+030,4.18503e+026,4.90438e+014,5.97579e+006,6767.01,5.15602e-006,0.445955,1.46983
2.6448e+008,2.62456,1.50105e+030,4.18654e+026,4.27236e+014,5.7732e+006,6101.82,4.05005e-006,0.430836,1.50788
2.7144e+008,2.69363,1.53649e+030,4.18766e+026,3.71853e+014,5.57625e+006,5498.41,3.17645e-006,0.416138,1.54399
2.784e+008,2.76269,1.57005e+030,4.1885e+026,3.23375e+014,5.38488e+006,4951.52,2.48759e-006,0.401857,1.5782
2.8536e+008,2.83176,1.60179e+030,4.18912e+026,2.80984e+014,5.199e+006,4456.25,1.94529e-006,0.387985,1.61055
2.9232e+008,2.90083,1.63175e+030,4.18957e+026,2.4395e+014,5.01851e+006,4008.05,1.51903e-006,0.374515,1.64108
2.9928e+008,2.9699,1.65997e+030,4.18991e+026,2.11624e+014,4.84329e+006,3602.73,1.18449e-006,0.36144,1.66984
3.0624e+008,3.03896,1.68652e+030,4.19015e+026,1.83432e+014,4.67324e+006,3236.41,9.22299e-007,0.348749,1.6969
3.132e+008,3.10803,1.71144e+030,4.19033e+026,1.58864e+014,4.50823e+006,2905.54,7.17111e-007,0.336435,1.7223
3.2016e+008,3.1771,1.73481e+030,4.19046e+026,1.37471e+014,4.34813e+006,2606.85,5.56751e-007,0.324487,1.74612
3.2712e+008,3.24616,1.75669e+030,4.19055e+026,1.18856e+014,4.19281e+006,2337.36,4.316e-007,0.312896,1.76842
3.3408e+008,3.31523,1.77713e+030,4.19062e+026,1.02671e+014,4.04214e+006,2094.33,3.34061e-007,0.301652,1.78925
3.4104e+008,3.3843,1.79621e+030,4.19067e+026,8.8608e+013,3.89599e+006,1875.27,2.58149e-007,0.290745,1.8087
3.48e+008,3.45337,1.81398e+030,4.19071e+026,7.63977e+013,3.75422e+006,1677.91,1.99151e-007,0.280166,1.82681
3.5496e+008,3.52243,1.83051e+030,4.19073e+026,6.58037e+013,3.6167e+006,1500.19,1.53366e-007,0.269903,1.84366
3.6192e+008,3.5915,1.84587e+030,4.19075e+026,5.66188e+013,3.48329e+006,1340.23,1.17889e-007,0.259947,1.85931
3.6888e+008,3.66057,1.86011e+030,4.19076e+026,4.86616e+013,3.35387e+006,1196.32,9.04415e-008,0.250289,1.87382
3.7584e+008,3.72964,1.87329e+030,4.19077e+026,4.17733e+013,3.2283e+006,1066.92,6.92412e-008,0.240918,1.88725
3.828e+008,3.7987,1.88547e+030,4.19078e+026,3.58152e+013,3.10646e+006,950.623,5.28943e-008,0.231826,1.89967
3.8976e+008,3.86777,1.89671e+030,4.19078e+026,3.0666e+013,2.98823e+006,846.157,4.03127e-008,0.223002,1.91113
3.9672e+008,3.93684,1.90707e+030,4.19079e+026,2.622e+013,2.87347e+006,752.371,3.06477e-008,0.214438,1.92168
4.0368e+008,4.00591,1.91659e+030,4.19079e+026,2.23847e+013,2.76208e+006,668.222,2.32383e-008,0.206126,1.93139
4.1064e+008,4.07497,1.92534e+030,4.19079e+026,1.90796e+013,2.65394e+006,592.768,1.75706e-008,0.198055,1.9403
4.176e+008,4.14404,1.93335e+030,4.19079e+026,1.62344e+013,2.54893e+006,525.153,1.32451e-008,0.190219,1.94846
4.2456e+008,4.21311,1.94067e+030,4.19079e+026,1.37881e+013,2.44695e+006,464.608,9.95231e-009,0.182608,1.95593
4.3152e+008,4.28217,1.94735e+030,4.19079e+026,1.16873e+013,2.34789e+006,410.433,7.45227e-009,0.175216,1.96274
4.3848e+008,4.35124,1.95344e+030,4.19079e+026,9.88553e+012,2.25164e+006,362,5.55958e-009,0.168033,1.96895
4.4544e+008,4.42031,1.95897e+030,4.19079e+026,8.34255e+012,2.15811e+006,318.737,4.1311e-009,0.161053,1.97458
4.524e+008,4.48938,1.96399e+030,4.19079e+026,7.02322e+012,2.0672e+006,280.131,3.05654e-009,0.154269,1.97969
4.5936e+008,4.55844,1.96852e+030,4.19079e+026,5.897e+012,1.97882e+006,245.715,2.25111e-009,0.147673,1.98432
4.6632e+008,4.62751,1.97261e+030,4.19079e+026,4.93739e+012,1.89288e+006,215.071,1.64973e-009,0.14126,1.98848
4.7328e+008,4.69658,1.97629e+030,4.19079e+026,4.12133e+012,1.80929e+006,187.818,1.20256e-009,0.135022,1.99223
4.8024e+008,4.76565,1.97959e+030,4.19079e+026,3.42885e+012,1.72797e+006,163.614,8.71567e-010,0.128953,1.9956
4.872e+008,4.83471,1.98254e+030,4.19079e+026,2.84258e+012,1.64884e+006,142.149,6.27754e-010,0.123048,1.99861
4.9416e+008,4.90378,1.98517e+030,4.19079e+026,2.3475e+012,1.57181e+006,123.144,4.49109e-010,0.117299,2.00129
5.0112e+008,4.97285,1.98751e+030,4.19079e+026,1.93057e+012,1.49682e+006,106.346,3.18965e-010,0.111703,2.00367
5.0808e+008,5.04192,1.98958e+030,4.19079e+026,1.58052e+012,1.4238e+006,91.5287,2.24745e-010,0.106254,2.00577
5.1504e+008,5.11098,1.9914e+030,4.19079e+026,1.28757e+012,1.35267e+006,78.4849,1.56997e-010,0.100946,2.00763
5.22e+008,5.18005,1.99299e+030,4.19079e+026,1.0433e+012,1.28337e+006,67.0292,1.08644e-010,0.0957738,2.00926
5.2896e+008,5.24912,1.99439e+030,4.19079e+026,8.40417e+011,1.21583e+006,56.994,7.44145e-011,0.0907336,2.01068
5.3592e+008,5.31818,1.9956e+030,4.19079e+026,6.72646e+011,1.15e+006,48.2279,5.03985e-011,0.0858205,2.01191
5.4288e+008,5.38725,1.99665e+030,4.19079e+026,5.34572e+011,1.0858e+006,40.5941,3.37134e-011,0.0810301,2.01298
5.4984e+008,5.45632,1.99755e+030,4.19079e+026,4.21541e+011,1.0232e+006,33.9694,2.22465e-011,0.076358,2.0139
5.568e+008,5.52539,1.99831e+030,4.19079e+026,3.29553e+011,962123,28.2424,1.44597e-011,0.0718002,2.01468
5.6376e+008,5.59445,1.99896e+030,4.19079e+026,2.55179e+011,902528,23.3127,9.2421e-012,0.0673528,2.01534
5.7072e+008,5.66352,1.9995e+030,4.19079e+026,1.95486e+011,844362,19.0895,5.79756e-012,0.0630121,2.01589
5.7768e+008,5.73259,1.99996e+030,4.19079e+026,1.47969e+011,787575,15.4913,3.56116e-012,0.0587743,2.01635
