radius,xi,mass,luminosity,pressure,temperature,density,egr,theta,y
6.96e+006,0.0690673,3.11024e+026,4.17781e+023,1.17778e+016,1.32286e+007,73410.2,0.00134324,0.987212,0
1.392e+007,0.138135,1.03675e+027,1.36593e+024,1.165e+016,1.31926e+007,72812.1,0.00131784,0.984524,0.00185
2.088e+007,0.207202,2.99052e+027,3.83244e+024,1.14154e+016,1.31257e+007,71709.5,0.00127175,0.979529,0.005701
2.784e+007,0.276269,6.73761e+027,8.34435e+024,1.11055e+016,1.30357e+007,70244.4,0.00121195,0.972812,0.0119382
3.48e+007,0.345337,1.2789e+028,1.52152e+025,1.07349e+016,1.29255e+007,68478.8,0.00114205,0.964592,0.0210317
4.176e+007,0.414404,2.15897e+028,2.45374e+025,1.03141e+016,1.2797e+007,66455.8,0.00106488,0.954999,0.0333761
4.872e+007,0.483471,3.3509e+028,3.61972e+025,9.85268e+015,1.26514e+007,64213.1,0.000982905,0.944133,0.0492834
5.568e+007,0.552539,4.8835e+028,4.99078e+025,9.35952e+015,1.249e+007,61787.2,0.000898432,0.93209,0.0689784
6.264e+007,0.621606,6.77704e+028,6.5254e+025,8.84333e+015,1.23141e+007,59213.4,0.000813523,0.918964,0.0925975
6.96e+007,0.690673,9.04328e+028,8.1743e+025,8.31242e+015,1.2125e+007,56526.7,0.000729986,0.90485,0.12019
7.656e+007,0.759741,1.16857e+029,9.88533e+025,7.77452e+015,1.19239e+007,53760.5,0.000649338,0.889842,0.151724
8.352e+007,0.828808,1.46999e+029,1.16079e+026,7.23675e+015,1.17121e+007,50946.7,0.000572787,0.874038,0.187089
9.048e+007,0.897875,1.80743e+029,1.32962e+026,6.70541e+015,1.14909e+007,48114.7,0.00050123,0.857533,0.22611
9.744e+007,0.966943,2.17912e+029,1.4912e+026,6.18601e+015,1.12617e+007,45291.5,0.000435272,0.840422,0.26855
1.044e+008,1.03601,2.58273e+029,1.64253e+026,5.68317e+015,1.10255e+007,42501.2,0.000375254,0.822796,0.314126
1.1136e+008,1.10508,3.0155e+029,1.78153e+026,5.20062e+015,1.07836e+007,39764.9,0.000321283,0.804745,0.362515
1.1832e+008,1.17414,3.47431e+029,1.90694e+026,4.74127e+015,1.05371e+007,37100.5,0.00027328,0.786354,0.413369
1.2528e+008,1.24321,3.95583e+029,2.01824e+026,4.30724e+015,1.02872e+007,34522.9,0.000231015,0.767705,0.466319
1.3224e+008,1.31228,4.45655e+029,2.11556e+026,3.8999e+015,1.00349e+007,32044.1,0.000194149,0.748873,0.52099
1.392e+008,1.38135,4.97291e+029,2.19948e+026,3.52001e+015,9.78105e+006,29673.3,0.000162272,0.729929,0.577005
1.4616e+008,1.45041,5.50135e+029,2.27093e+026,3.16776e+015,9.52659e+006,27417.2,0.00013493,0.710939,0.633994
1.5312e+008,1.51948,6.0384e+029,2.33103e+026,2.84287e+015,9.27232e+006,25279.9,0.000111652,0.691964,0.691599
1.6008e+008,1.58855,6.58071e+029,2.38105e+026,2.54468e+015,9.01899e+006,23263.9,9.19709e-005,0.673059,0.749481
1.6704e+008,1.65762,7.12512e+029,2.42225e+026,2.27224e+015,8.76724e+006,21369.7,7.54375e-005,0.654272,0.807322
1.74e+008,1.72668,7.66866e+029,2.45587e+026,2.02436e+015,8.51768e+006,19596.3,6.16305e-005,0.635648,0.864828
1.8096e+008,1.79575,8.2086e+029,2.48306e+026,1.79969e+015,8.27082e+006,17941.4,5.01635e-005,0.617226,0.921731
1.8792e+008,1.86482,8.74247e+029,2.50487e+026,1.59678e+015,8.02714e+006,16401.8,4.06884e-005,0.59904,0.97779
1.9488e+008,1.93389,9.26806e+029,2.52224e+026,1.41412e+015,7.78701e+006,14973.5,3.2896e-005,0.58112,1.03279
2.0184e+008,2.00295,9.7834e+029,2.53597e+026,1.25018e+015,7.5508e+006,13651.8,2.65152e-005,0.563492,1.08656
2.088e+008,2.07202,1.02868e+030,2.54675e+026,1.10346e+015,7.31877e+006,12431.5,2.13115e-005,0.546177,1.13892
2.1576e+008,2.14109,1.07768e+030,2.55517e+026,9.72473e+014,7.09118e+006,11307.5,1.70835e-005,0.529193,1.18975
2.2272e+008,2.21015,1.12522e+030,2.5617e+026,8.55813e+014,6.86822e+006,10274.1,1.36601e-005,0.512554,1.23894
2.2968e+008,2.27922,1.1712e+030,2.56674e+026,7.52138e+014,6.65003e+006,9325.7,1.08971e-005,0.496271,1.2864
2.3664e+008,2.34829,1.21555e+030,2.57061e+026,6.60186e+014,6.43674e+006,8456.84,8.67377e-006,0.480354,1.33206
2.436e+008,2.41736,1.2582e+030,2.57357e+026,5.78782e+014,6.22842e+006,7662.04,6.88959e-006,0.464808,1.37589
2.5056e+008,2.48642,1.29911e+030,2.57582e+026,5.06838e+014,6.02513e+006,6936.02,5.46152e-006,0.449637,1.41785
